2019-01-20 16:11:30 [main] INFO  c.ricardo.SpringbootDemoApplication - The following profiles are active: dev
2019-01-20 16:11:32 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=07d41369-de78-3ab4-90ae-707a6f6df075
2019-01-20 16:11:32 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$c7124e99] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-20 16:11:32 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$63ac0464] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-20 16:11:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-01-20 16:11:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-01-20 16:11:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
2019-01-20 16:11:33 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-01-20 16:11:33 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-01-20 16:11:33 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2272 ms
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webMvcMetricsFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'formContentFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpTraceFilter' to: [/*]
2019-01-20 16:11:34 [main] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-01-20 16:11:35 [main] WARN  o.s.c.n.a.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2019-01-20 16:11:35 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-01-20 16:11:35 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-01-20 16:11:35 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-01-20 16:11:35 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-01-20 16:11:36 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-01-20 16:11:37 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 9 endpoint(s) beneath base path '/actuator'
2019-01-20 16:11:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-01-20 16:11:37 [main] INFO  c.ricardo.SpringbootDemoApplication - Started SpringbootDemoApplication in 9.362 seconds (JVM running for 12.355)
2019-01-20 16:11:37 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-01-20 16:11:37 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-01-20 16:11:37 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 42 ms
2019-01-20 16:11:56 [http-nio-8080-exec-2] INFO  com.ricardo.controller.Cadastro - cremildo
2019-01-20 16:12:32 [http-nio-8080-exec-1] INFO  com.ricardo.controller.Cadastro - cremildo
